Designator,Mid X,Mid Y,Rotation,Layer
BZ1,110.55,-94.72,0.0,top
C1,96.3625,-114.1175,0.0,top
C10,183.43,-93.4,0.0,top
C11,187.53,-93.4,180.0,top
C12,154.1175,-119.9,180.0,top
C13,162.5175,-118.4,0.0,top
C14,137.13,-75.775,90.0,top
C15,165.73,-72.6,90.0,top
C16,153.33,-72.6,90.0,top
C17,140.03,-102.8,180.0,top
C18,144.2675,-102.8,180.0,top
C19,149.99,-109.4,0.0,top
C2,121.38,-101.16,180.0,top
C20,133.7075,-114.82,180.0,top
C21,171.43,-89.5,0.0,top
C22,141.73,-92.26,90.0,top
C23,165.0,-93.96,0.0,top
C24,133.11,-88.68,180.0,top
C25,130.23,-72.5,90.0,top
C3,187.69,-117.36,180.0,top
C4,179.2925,-93.4,0.0,top
C5,95.92,-95.08,0.0,top
C6,130.4925,-98.25,0.0,top
C7,137.54,-54.3,180.0,top
C8,162.4175,-124.1,0.0,top
C9,156.05,-109.6,0.0,top
D1,125.93,-71.6,270.0,top
D10,135.09,-123.54,180.0,top
D11,129.92,-123.54,180.0,top
D12,171.43,-82.7,180.0,top
D13,139.63,-84.4,180.0,top
D2,143.03,-66.3,180.0,top
D3,135.33,-66.3,0.0,top
D4,177.5175,-123.54,0.0,top
D5,143.03,-61.0,0.0,top
D6,135.33,-61.0,180.0,top
D7,155.41,-124.0,0.0,top
D8,158.99,-62.36,180.0,top
D9,161.4925,-114.05,0.0,top
DZ1,144.49,-74.33,0.0,top
J1,99.92,-117.69,270.0,top
J2,93.2,-90.195,90.0,top
J3,123.7,-104.595,270.0,top
J4,107.95,-52.53,180.0,top
J5,120.1,-52.53,180.0,top
J6,86.3,-104.68,0.0,top
J7,116.68,-110.41,270.0,top
J8,144.82,-124.02,90.0,top
J9,158.99,-52.53,180.0,top
K1,113.6,-76.8425,270.0,top
L1,182.73,-79.4,0.0,top
L2,153.83,-99.7,0.0,top
OC1,127.06,-82.78,90.0,top
OC2,100.81,-107.08,0.0,top
Q1,164.93,-106.05,180.0,top
R1,132.73,-84.19,180.0,top
R10,137.54,-54.3,180.0,top
R11,119.19,-60.82,0.0,top
R12,177.63,-117.8,0.0,top
R13,187.73,-89.8,0.0,top
R14,165.03,-109.9,180.0,top
R15,133.9575,-119.02,180.0,top
R16,130.045,-119.02,180.0,top
R2,91.26,-95.04,0.0,top
R3,95.61,-98.67,0.0,top
R4,178.93,-89.8,180.0,top
R5,90.2,-114.4925,90.0,top
R6,90.21,-110.1625,270.0,top
R7,126.1825,-98.22,0.0,top
R8,134.7775,-98.22,0.0,top
R9,135.83,-102.8,180.0,top
SW1,128.01,-93.51,270.0,top
SW2,164.85,-97.86,180.0,top
SW3,164.85,-101.9,180.0,top
U1,170.2175,-122.15,180.0,top
U2,179.71,-105.95,270.0,top
U3,183.38,-65.1,0.0,top
U4,157.205,-86.075,0.0,top
U5,143.5175,-117.18,0.0,top
Y1,140.28,-109.21,180.0,top
