Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,680uF_35V,CP_Elec_10x12.5,102.52,-32.91,90.0,top
C10,2200uF/35V,CP_Radial_D18.0mm_P7.50mm,171.02222,-50.0,0.0,top
C11,220uF_16V,CP_Elec_6.3x7.7,211.78,-48.62,0.0,top
C12,100nF,C_0805,160.9852,-56.6166,180.0,top
C13,100nF,C_0805,161.229,-42.799,180.0,top
C14,470uF/25V,CP_Elec_8x11.9,237.59,-66.725,90.0,top
C15,4.7uF/16V,C_CASE-B-3528-21(mm),192.9,-34.1,90.0,top
C16,10uF_16V,C_CASE-B-3528-21(mm),209.6262,-38.862,180.0,top
C17,0.1uF/25V,C_0805,179.92,-70.84,0.0,bottom
C18,100nF,C_0805,214.875,-28.0,0.0,top
C19,4.7uF/16V,CP_EIA-3216-18_Kemet-A,224.8675,-44.52,0.0,top
C2,680uF_35V,CP_Elec_10x12.5,186.3598,-53.5268,90.0,top
C20,22pF,C_0805,216.02,-38.22,0.0,top
C21,22pF,C_0805,215.33,-41.24,-90.0,top
C22,100nF,C_0805,218.79,-41.245,90.0,top
C23,100nF,C_0805,85.675,-68.275,90.0,bottom
C24,100nF,C_0805,85.675,-54.5,90.0,bottom
C25,100nF,C_0805,226.39,-41.245,90.0,top
C26,10uF_16V,C_CASE-B-3528-21(mm),129.5908,-86.2076,-90.0,top
C27,10uF_16V,C_CASE-B-3528-21(mm),125.9332,-86.2076,-90.0,top
C3,470nF,C_0805,242.665,-37.82,-90.0,top
C4,100nF,C_0805,246.094,-37.82,-90.0,top
C5,220uF_16V,CP_Elec_6.3x7.7,190.4924,-64.0588,0.0,top
C6,220uF_16V,CP_Elec_6.3x7.7,128.87,-31.07,-90.0,top
C7,680uF_35V,CP_Elec_10x12.5,147.0,-66.0,-90.0,top
C8,145J400V,C_Rect_L19.0mm_W6.0mm_P15.00mm_MKS4,56.35,-43.975,-90.0,top
C9,2200uF/35V,CP_Radial_D18.0mm_P7.50mm,151.02222,-50.0,0.0,top
D1,Blue,LED_D3.0mm,232.816,-28.05,0.0,top
D10,SM4001,D_SMA,64.61,-32.35,0.0,top
D11,SM4001,D_SMA,64.62,-27.93,0.0,top
D12,1N5824,D_SMA,137.45,-67.05,-90.0,top
D13,1N5819,D_SMA,209.3,-42.67,180.0,top
D14,1N5819,D_SMA,223.6675,-47.72,180.0,top
D15,SM4007PL,D_SMA,221.4184,-66.9036,180.0,bottom
D16,Red,LED_D3.0mm,245.98,-63.34,-90.0,top
D17,Green,LED_D3.0mm,245.98,-69.85,-90.0,top
D18,SM4001,D_SMA,220.1672,-79.1464,-90.0,top
D19,SM4001,D_SMA,188.225,-82.025,-90.0,top
D2,1N5824,D_SMA,185.71,-33.39,180.0,top
D20,SM4001,D_SMA,158.175,-79.075,-90.0,top
D21,SM4001,D_SMA,128.075,-79.075,-90.0,top
D22,SM4001,D_SMA,98.375,-79.125,-90.0,top
D23,SM4001,D_SMA,67.8,-79.175,-90.0,top
D24,SM4001,D_SMA,218.95,-113.55,-90.0,top
D25,SM4001,D_SMA,188.325,-113.55,-90.0,top
D26,SM4001,D_SMA,158.425,-113.55,-90.0,top
D27,SM4001,D_SMA,128.25,-113.55,-90.0,top
D28,SM4001,D_SMA,98.025,-113.55,-90.0,top
D29,SM4001,D_SMA,67.8,-113.55,-90.0,top
D3,1N5824,D_SMA,133.88,-37.73,0.0,top
D30,SM4007PL,D_SMA,221.488,-62.484,180.0,bottom
