pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
102.52,-32.91,90.0,top,C1,,,CP_Elec_10x12.5,680uF_35V,smt
167.27222,-50.0,0.0,top,C10,,,CP_Radial_D18.0mm_P7.50mm,2200uF/35V,tht
211.78,-48.62,0.0,top,C11,,,CP_Elec_6.3x7.7,220uF_16V,smt
160.9852,-56.6166,180.0,top,C12,,,C_0805,100nF,smt
161.229,-42.799,180.0,top,C13,,,C_0805,100nF,smt
237.59,-66.725,90.0,top,C14,,,CP_Elec_8x11.9,470uF/25V,smt
192.9,-34.1,90.0,top,C15,,,C_CASE-B-3528-21(mm),4.7uF/16V,smt
209.6262,-38.862,180.0,top,C16,,,C_CASE-B-3528-21(mm),10uF_16V,smt
179.92,-70.84,180.0,bottom,C17,,,C_0805,0.1uF/25V,smt
214.875,-28.0,0.0,top,C18,,,C_0805,100nF,smt
224.8675,-44.52,0.0,top,C19,,,CP_EIA-3216-18_Kemet-A,4.7uF/16V,smt
186.3598,-53.5268,90.0,top,C2,,,CP_Elec_10x12.5,680uF_35V,smt
216.02,-38.22,0.0,top,C20,,,C_0805,22pF,smt
215.33,-41.24,-90.0,top,C21,,,C_0805,22pF,smt
218.79,-41.245,90.0,top,C22,,,C_0805,100nF,smt
85.675,-68.275,90.0,bottom,C23,,,C_0805,100nF,smt
85.675,-54.5,90.0,bottom,C24,,,C_0805,100nF,smt
226.39,-41.245,90.0,top,C25,,,C_0805,100nF,smt
129.5908,-86.2076,-90.0,top,C26,,,C_CASE-B-3528-21(mm),10uF_16V,smt
125.9332,-86.2076,-90.0,top,C27,,,C_CASE-B-3528-21(mm),10uF_16V,smt
242.665,-37.82,-90.0,top,C3,,,C_0805,470nF,smt
246.094,-37.82,-90.0,top,C4,,,C_0805,100nF,smt
190.4924,-64.0588,0.0,top,C5,,,CP_Elec_6.3x7.7,220uF_16V,smt
128.87,-31.07,-90.0,top,C6,,,CP_Elec_6.3x7.7,220uF_16V,smt
147.0,-66.0,-90.0,top,C7,,,CP_Elec_10x12.5,680uF_35V,smt
56.35,-36.475,-90.0,top,C8,,,C_Rect_L19.0mm_W6.0mm_P15.00mm_MKS4,145J400V,tht
147.27222,-50.0,0.0,top,C9,,,CP_Radial_D18.0mm_P7.50mm,2200uF/35V,tht
231.546,-28.05,0.0,top,D1,,,LED_D3.0mm,Blue,tht
64.61,-32.35,0.0,top,D10,,,D_SMA,SM4001,smt
64.62,-27.93,0.0,top,D11,,,D_SMA,SM4001,smt
137.45,-67.05,-90.0,top,D12,,,D_SMA,1N5824,smt
209.3,-42.67,180.0,top,D13,,,D_SMA,1N5819,smt
223.6675,-47.72,180.0,top,D14,,,D_SMA,1N5819,smt
221.4184,-66.9036,0.0,bottom,D15,,,D_SMA,SM4007PL,smt
245.98,-62.07,-90.0,top,D16,,,LED_D3.0mm,Red,tht
245.98,-68.58,-90.0,top,D17,,,LED_D3.0mm,Green,tht
220.1672,-79.1464,-90.0,top,D18,,,D_SMA,SM4001,smt
188.225,-82.025,-90.0,top,D19,,,D_SMA,SM4001,smt
185.71,-33.39,180.0,top,D2,,,D_SMA,1N5824,smt
158.175,-79.075,-90.0,top,D20,,,D_SMA,SM4001,smt
128.075,-79.075,-90.0,top,D21,,,D_SMA,SM4001,smt
98.375,-79.125,-90.0,top,D22,,,D_SMA,SM4001,smt
67.8,-79.175,-90.0,top,D23,,,D_SMA,SM4001,smt
218.95,-113.55,-90.0,top,D24,,,D_SMA,SM4001,smt
188.325,-113.55,-90.0,top,D25,,,D_SMA,SM4001,smt
158.425,-113.55,-90.0,top,D26,,,D_SMA,SM4001,smt
128.25,-113.55,-90.0,top,D27,,,D_SMA,SM4001,smt
98.025,-113.55,-90.0,top,D28,,,D_SMA,SM4001,smt
67.8,-113.55,-90.0,top,D29,,,D_SMA,SM4001,smt
133.88,-37.73,0.0,top,D3,,,D_SMA,1N5824,smt
221.488,-62.484,0.0,bottom,D30,,,D_SMA,SM4007PL,smt
236.816,-28.065,0.0,top,D4,,,LED_D3.0mm,GREEN,tht
211.55,-54.31,0.0,top,D5,,,D_SMA,SM4001,smt
73.06,-32.36,0.0,top,D6,,,D_SMA,SM4001,smt
73.08,-27.89,0.0,top,D7,,,D_SMA,SM4001,smt
146.695,-37.695,0.0,top,D8,,,Diode_Bridge_Vishay_GBU,GBU8M,tht
170.175,-37.695,0.0,top,D9,,,Diode_Bridge_Vishay_GBU,GBU8M,tht
231.45,-62.23,90.0,top,DZ1,,,D_SOD-123,CMZ12,smt
198.7804,-46.3042,90.0,top,L1,,,L_12x12mm_H6mm,33uH,smt
117.12,-33.24,90.0,top,L2,,,L_12x12mm_H6mm,33uH,smt
161.0,-65.75,90.0,top,L3,,,L_12x12mm_H6mm,33uH,smt
135.42,-30.62,-90.0,top,OC1,,,SOP-4_4.4x2.6mm_P1.27mm,PC817XFP,smt
189.47,-72.88,90.0,top,OC2,,,SOP-4_4.4x2.6mm_P1.27mm,PC817XFP,smt
188.35,-87.4125,0.0,top,Q1,,,SOT-363_SC-70-6,UMH3N,smt
222.565,-41.145,-90.0,top,Q2,,,SOT-363_SC-70-6,UMH3N,smt
92.9,-50.175,-90.0,bottom,Q3,ULN2803ADWR,,SOIC-18_W7.5mm,ULN2803ADWR,smt
92.9,-63.95,-90.0,bottom,Q4,ULN2803ADWR,,SOIC-18_W7.5mm,ULN2803ADWR,smt
216.0,-86.71,90.0,top,R1,,,R_0805,680k,smt
239.236,-37.865,90.0,top,R10,,,R_0805,10k,smt
246.065,-34.16,90.0,top,R11,,,R_0805,330R,smt
239.265,-34.16,-90.0,top,R12,,,R_0805,10k,smt
56.388,-39.878,-90.0,top,R13,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1M,tht
86.43,-39.6,180.0,top,R14,,,R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal,330R/2W,tht
179.9,-68.165,180.0,bottom,R15,,,R_0805,10k,smt
179.9,-65.54,180.0,bottom,R16,,,R_0805,10k,smt
185.095,-58.785,0.0,bottom,R17,,,R_0805,10k,smt
139.57,-37.53,-90.0,top,R18,,,R_0805,150R,smt
231.24,-66.66,90.0,top,R19,,,R_0805,330R,smt
191.516,-83.9768,90.0,top,R2,,,R_0805,680k,smt
231.24,-70.61,-90.0,top,R20,,,R_0805,330R,smt
225.54,-51.19,180.0,top,R21,,,R_0805,10k,smt
220.61,-51.18,0.0,top,R22,,,R_0805,10k,smt
126.99,-37.53,180.0,top,R3,,,R_0805,100k,smt
155.6,-85.71,-90.0,top,R4,,,R_0805,6.8k,smt
161.2,-85.69,-90.0,top,R5,,,R_0805,6.8k,smt
242.665,-34.16,90.0,top,R6,,,R_0805,330R,smt
218.67,-86.7,90.0,top,R7,,,R_0805,680k,smt
158.44,-85.71,-90.0,top,R8,,,R_0805,6.8k,smt
188.35,-91.15,0.0,top,R9,,,R_0805,330R,smt
183.34,-44.03,180.0,top,RV1,,,Potentiometer_Bourns_3296W_Vertical,10K,tht
233.945,-37.45,0.0,top,SW1,,,SW_TS-1088-AR02016,RESET,smt
233.945,-33.05,0.0,top,SW2,,,SW_TS-1088-AR02016,FLASH,smt
178.25,-67.0,180.0,top,U1,,,TO-263-5_L10.2-W8.9-P1.70-TL,LM2596S-3.3V,tht
88.97,-31.59,180.0,top,U2,,,TO-263-5_L10.2-W8.9-P1.70-TL,LM2596S-12,tht
242.265,-49.67,-90.0,top,U3,,,ESP32-WROOM-32E,ESP32,smt
201.09,-63.85,90.0,top,U4,,,TO-263-5_L10.2-W8.9-P1.70-TL,LM2596S-5V,tht
199.26,-35.15,180.0,top,U5,,,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,AMS1117-3.3,tht
189.925,-66.19,-90.0,bottom,U6,,,SOIC-24W_7.5x15.4mm_P1.27mm,PCA9555D,smt
224.305,-35.02,-90.0,top,U7,,,SOIC-16_3.9x9.9mm_P1.27mm,CH340C,smt
158.9,-29.9225,180.0,top,XFORMER_IN,,,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",TRANS-IN,tht
171.107,-29.9225,180.0,top,XFORMER_OUT1,,,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",TRANS 2-OUT,tht
146.693,-29.9225,180.0,top,XFORMER_OUT2,,,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",TRANS 1-OUT,tht
211.49,-34.21,0.0,top,Y1,,,CRYSTAL-SMD_L11.5-W4.8-LS12.7,12MHz,smt
