Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_15x7.5RM7.6,1,Buzzer,
"C1, C11, C12, C19, C2, C20, C23, C24, C3, C4, C5",0805,11,100nF,
C10,0805,1,470nF,
"C13, C25, C8",CP_EIA-3528-21_Kemet-B_HandSolder,3,4.7uF/16V,
C14,CP_Elec_8x11.9,1,470uF/25V,
"C15, C16",CP_Elec_10x12.5,2,680uF_35V,
"C17, C18",0805,2,22pF,
"C21, C22",CP_Elec_6.3x7.7,2,220uF_16V,
C6,0805,1,104,
C7,C_Rect_L19.0mm_W6.0mm_P15.00mm_MKS4,1,145J400V,
C9,CP_Radial_D5.0mm_P2.00mm,1,10uF_16V,
D1,D_SMA,1,1N4007,
"D10, D4",LED_D3.0mm,2,Red,
D11,LED_D3.0mm,1,Green,
"D12, D13",D_SMA,2,1N5824,
"D2, D3, D5, D6",D_SMA,4,SM4001,
"D7, D9",D_SMA,2,1N5819,
D8,Diode_Bridge_Vishay_GBU,1,GBU8M,
DZ1,D_SOD-123,1,CMZ12,
J1,PinHeader_1x03_P2.54mm_Vertical,1,DS18B20,
J2,PinSocket_1x04_P2.54mm_Vertical,1,CURRENT SENSOR,
J3,PinSocket_1x04_P2.54mm_Vertical,1,OLED SCREEN,
J4,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,LOAD,
J5,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,220VAC,
J6,PinHeader_1x08_P2.54mm_Vertical,1,MPU6050,
J7,PinHeader_1x06_P2.54mm_Vertical,1,SD MODULE,
J8,PinHeader_1x04_P2.54mm_Vertical,1,USB_C Conn,
J9,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,12VAC,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,~,
K1,Relay_SPDT_Finder_36.11,1,FINDER-36.11,
"L1, L2",L_12x12mm_H6mm,2,33uH,
"OC1, OC2",DIP-4_W7.62mm_SMDSocket_SmallPads,2,PC817XI,
Q1,SOT-363_SC-70-6,1,UMH3N,
"R1, R13, R14, R4, R5, R6, R7, R8, R9",0805,9,10k,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1M,
R11,R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal,1,330R/2W,
"R12, R15, R16",0805,3,330R,
R2,0805,1,1k,
R3,0805,1,2k,
SW1,PinHeader_1x06_P2.54mm_Vertical,1,RotaryEncoder,
SW2,SW_SPST_CK_KXT3,1,RESET,
SW3,SW_SPST_CK_KXT3,1,FLASH,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,ESP32-S3-WROOM-1U-N16R8,1,ESP32-S3-WROOM-1U-N16R8,
U3,TO-263-5_TabPin6,1,LM2596S-3.3V,
U4,TO-263-5_TabPin6,1,LM2596S-5V,
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
Y1,Crystal_HC49-4H_Vertical,1,12MHz,
